Name,HullIndexParent,ScaleX,ScaleY,ScaleZ,PositionX,PositionY,PositionZ,OrientationW,OrientationX,OrientationY,OrientationZ,LocalDirectionX,LocalDirectionY,LocalDirectionZ,FiringTurnMaximum,FiringTurnStart,FiringTurnEnd,Roll,FiringPositionX,FiringPositionY,FiringPositionZ,FiringDirectionX,FiringDirectionY,FiringDirectionZ,Fitness
Orion-baseline,15,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,16,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,11,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17,15,17,0.0,0.0,0.0,0.3,0.0,0.0,1.0,1
Orion-baseline,31,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40,0,10,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Orion-baseline,32,0.75,0.75,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,40,0,10,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Orion-baseline,33,1.4,1.4,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,10,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Orion-baseline,34,1.4,1.4,1.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50,0,10,0.0,0.0,0.0,1.25,0.0,0.0,1.0,1
Orion-baseline,35,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60,0,20,0.0,0.0,0.0,2.25,0.0,0.0,1.0,1
Orion-baseline,36,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60,0,20,0.0,0.0,0.0,2.25,0.0,0.0,1.0,1
Orion-mutated,15,0.22,0.22,0.22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,16.95,14.79,0.0,0.0,0.0,0.3,0.0,0.0,1.13,0.87
